date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:38:28	131/131	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Oct%202014%2013:38:10%20GMT	http://flaskbb.org/robots.txt		(from )
09:38:28	5082/5082	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/	G:/projects/forums-website/forums/flaskbb.org/index.html	(from )
09:38:28	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/favicon.ico	G:/projects/forums-website/forums/flaskbb.org/favicon.ico	(from http://flaskbb.org/)
09:38:29	99959/99959	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/css/bootstrap.min.css	G:/projects/forums-website/forums/flaskbb.org/css/bootstrap.min.css	(from http://flaskbb.org/)
09:38:31	2196/2196	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/css/main.css	G:/projects/forums-website/forums/flaskbb.org/css/main.css	(from http://flaskbb.org/)
09:38:31	7791/7791	---M--	200	added ('OK')	image/png	etag:%225b6b3233153feca50a94aa6c60873a5f%22	https://s3.amazonaws.com/github/ribbons/forkme_right_darkblue_121621.png	G:/projects/forums-website/forums/s3.amazonaws.com/github/ribbons/forkme_right_darkblue_121621.png	(from http://flaskbb.org/)
09:38:31	8050/8050	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/features.html	G:/projects/forums-website/forums/flaskbb.org/features.html	(from http://flaskbb.org/)
09:38:32	5464/5464	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/first_steps.html	G:/projects/forums-website/forums/flaskbb.org/first_steps.html	(from http://flaskbb.org/)
09:38:34	29111/29111	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/js/bootstrap.min.js	G:/projects/forums-website/forums/flaskbb.org/js/bootstrap.min.js	(from http://flaskbb.org/)
09:38:35	20063/20063	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/js/holder.js	G:/projects/forums-website/forums/flaskbb.org/js/holder.js	(from http://flaskbb.org/)
09:38:36	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Oct%202014%2013:38:18%20GMT	http://flaskbb.org/fonts/glyphicons-halflings-regular.eot	G:/projects/forums-website/forums/flaskbb.org/fonts/glyphicons-halflings-regular.eot	(from http://flaskbb.org/css/bootstrap.min.css)
09:38:36	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Oct%202014%2013:38:19%20GMT	http://flaskbb.org/fonts/glyphicons-halflings-regular.eot?	G:/projects/forums-website/forums/flaskbb.org/fonts/glyphicons-halflings-regulard41d.eot	(from http://flaskbb.org/css/bootstrap.min.css)
09:38:37	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Oct%202014%2013:38:19%20GMT	http://flaskbb.org/fonts/glyphicons-halflings-regular.woff	G:/projects/forums-website/forums/flaskbb.org/fonts/glyphicons-halflings-regular.woff	(from http://flaskbb.org/css/bootstrap.min.css)
09:38:37	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Oct%202014%2013:38:20%20GMT	http://flaskbb.org/fonts/glyphicons-halflings-regular.ttf	G:/projects/forums-website/forums/flaskbb.org/fonts/glyphicons-halflings-regular.ttf	(from http://flaskbb.org/css/bootstrap.min.css)
09:38:37	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Oct%202014%2013:38:20%20GMT	http://flaskbb.org/fonts/glyphicons-halflings-regular.svg	G:/projects/forums-website/forums/flaskbb.org/fonts/glyphicons-halflings-regular.svg	(from http://flaskbb.org/css/bootstrap.min.css)
09:38:37	5082/5082	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/index.html	G:/projects/forums-website/forums/flaskbb.org/index-2.html	(from http://flaskbb.org/features.html)
09:38:38	96381/96381	---MC-	200	added ('OK')	text/javascript	date:Wed,%2029%20Jan%202014%2019:31:45%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	G:/projects/forums-website/forums/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from http://flaskbb.org/)
09:38:40	20384/20384	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/images/forum.png	G:/projects/forums-website/forums/flaskbb.org/images/forum.png	(from http://flaskbb.org/features.html)
09:38:40	17862/17862	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/images/private-messaging.png	G:/projects/forums-website/forums/flaskbb.org/images/private-messaging.png	(from http://flaskbb.org/features.html)
09:38:42	23988/23988	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/images/admin.png	G:/projects/forums-website/forums/flaskbb.org/images/admin.png	(from http://flaskbb.org/features.html)
09:38:42	13519/13519	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/images/moderation.png	G:/projects/forums-website/forums/flaskbb.org/images/moderation.png	(from http://flaskbb.org/features.html)
09:38:43	17302/17302	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/images/bbcode.png	G:/projects/forums-website/forums/flaskbb.org/images/bbcode.png	(from http://flaskbb.org/features.html)
09:38:44	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Oct%202014%2013:38:26%20GMT	http://flaskbb.org/Popover%20requires%20tooltip.js	G:/projects/forums-website/forums/flaskbb.org/Popover%20requires%20tooltip.js	(from http://flaskbb.org/js/bootstrap.min.js)
09:38:44	14407/14407	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/images/topictracker.png	G:/projects/forums-website/forums/flaskbb.org/images/topictracker.png	(from http://flaskbb.org/features.html)
09:38:44	40550/40550	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/images/permissions.png	G:/projects/forums-website/forums/flaskbb.org/images/permissions.png	(from http://flaskbb.org/features.html)
09:38:44	15307/15307	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Jul%202014%2014:19:57%20GMT	http://flaskbb.org/images/unread.png	G:/projects/forums-website/forums/flaskbb.org/images/unread.png	(from http://flaskbb.org/features.html)
